"Gene","ClinVar_VariationID","ClinVar_Accession","Query_Phenotype","Matched_Condition","Clinical_Significance","Search_Term","Source"
"COL4A1","3575695","VCV003575695","migraine","Retinal arteries, tortuosity of | Retinal arterial tortuosity | RETINAL HEMORRHAGE WITH VASCULAR TORTUOSITY | RATOR | PORENCEPHALY, TYPE 1, AUTOSOMAL DOMINANT | GOULD SYNDROME 1 | Brain small vessel disease with or without ocular anomalies | BRAIN SMALL VESSEL DISEASE WITH HEMORRHAGE | Brain small vessel disease 1 with or without ocular anomalies | BSVD1 | Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps | Autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome | HANAC | Pontine autosomal dominant microangiopathy with leukoencephalopathy | Microangiopathy and leukoencephalopathy, pontine, autosomal dominant | DEMENTIA, HEREDITARY MULTI-INFARCT, SWEDISH TYPE | PADMAL | Hemorrhage, intracerebral, susceptibility to | Stroke, hemorrhagic, susceptibility to | ICH","Likely pathogenic","""migraine""","ClinVar_XML"
"COL4A1","3575696","VCV003575696","migraine","Retinal arteries, tortuosity of | Retinal arterial tortuosity | RETINAL HEMORRHAGE WITH VASCULAR TORTUOSITY | RATOR | PORENCEPHALY, TYPE 1, AUTOSOMAL DOMINANT | GOULD SYNDROME 1 | Brain small vessel disease with or without ocular anomalies | BRAIN SMALL VESSEL DISEASE WITH HEMORRHAGE | Brain small vessel disease 1 with or without ocular anomalies | BSVD1 | Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps | Autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome | HANAC | Pontine autosomal dominant microangiopathy with leukoencephalopathy | Microangiopathy and leukoencephalopathy, pontine, autosomal dominant | DEMENTIA, HEREDITARY MULTI-INFARCT, SWEDISH TYPE | PADMAL | Hemorrhage, intracerebral, susceptibility to | Stroke, hemorrhagic, susceptibility to | ICH","Uncertain significance","""migraine""","ClinVar_XML"
"COL4A1","3575697","VCV003575697","migraine","Retinal arteries, tortuosity of | Retinal arterial tortuosity | RETINAL HEMORRHAGE WITH VASCULAR TORTUOSITY | RATOR | PORENCEPHALY, TYPE 1, AUTOSOMAL DOMINANT | GOULD SYNDROME 1 | Brain small vessel disease with or without ocular anomalies | BRAIN SMALL VESSEL DISEASE WITH HEMORRHAGE | Brain small vessel disease 1 with or without ocular anomalies | BSVD1 | Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps | Autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome | HANAC | Pontine autosomal dominant microangiopathy with leukoencephalopathy | Microangiopathy and leukoencephalopathy, pontine, autosomal dominant | DEMENTIA, HEREDITARY MULTI-INFARCT, SWEDISH TYPE | PADMAL | Hemorrhage, intracerebral, susceptibility to | Stroke, hemorrhagic, susceptibility to | ICH","Uncertain significance","""migraine""","ClinVar_XML"
"COL4A1","3575698","VCV003575698","migraine","Retinal arteries, tortuosity of | Retinal arterial tortuosity | RETINAL HEMORRHAGE WITH VASCULAR TORTUOSITY | RATOR | PORENCEPHALY, TYPE 1, AUTOSOMAL DOMINANT | GOULD SYNDROME 1 | Brain small vessel disease with or without ocular anomalies | BRAIN SMALL VESSEL DISEASE WITH HEMORRHAGE | Brain small vessel disease 1 with or without ocular anomalies | BSVD1 | Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps | Autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome | HANAC | Pontine autosomal dominant microangiopathy with leukoencephalopathy | Microangiopathy and leukoencephalopathy, pontine, autosomal dominant | DEMENTIA, HEREDITARY MULTI-INFARCT, SWEDISH TYPE | PADMAL | Hemorrhage, intracerebral, susceptibility to | Stroke, hemorrhagic, susceptibility to | ICH","Uncertain significance","""migraine""","ClinVar_XML"
"COL4A1","3575699","VCV003575699","migraine","Retinal arteries, tortuosity of | Retinal arterial tortuosity | RETINAL HEMORRHAGE WITH VASCULAR TORTUOSITY | RATOR | PORENCEPHALY, TYPE 1, AUTOSOMAL DOMINANT | GOULD SYNDROME 1 | Brain small vessel disease with or without ocular anomalies | BRAIN SMALL VESSEL DISEASE WITH HEMORRHAGE | Brain small vessel disease 1 with or without ocular anomalies | BSVD1 | Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps | Autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome | HANAC | Pontine autosomal dominant microangiopathy with leukoencephalopathy | Microangiopathy and leukoencephalopathy, pontine, autosomal dominant | DEMENTIA, HEREDITARY MULTI-INFARCT, SWEDISH TYPE | PADMAL | Hemorrhage, intracerebral, susceptibility to | Stroke, hemorrhagic, susceptibility to | ICH","Uncertain significance","""migraine""","ClinVar_XML"
"COL4A1","3575700","VCV003575700","migraine","Retinal arteries, tortuosity of | Retinal arterial tortuosity | RETINAL HEMORRHAGE WITH VASCULAR TORTUOSITY | RATOR | PORENCEPHALY, TYPE 1, AUTOSOMAL DOMINANT | GOULD SYNDROME 1 | Brain small vessel disease with or without ocular anomalies | BRAIN SMALL VESSEL DISEASE WITH HEMORRHAGE | Brain small vessel disease 1 with or without ocular anomalies | BSVD1 | Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps | Autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome | HANAC | Pontine autosomal dominant microangiopathy with leukoencephalopathy | Microangiopathy and leukoencephalopathy, pontine, autosomal dominant | DEMENTIA, HEREDITARY MULTI-INFARCT, SWEDISH TYPE | PADMAL | Hemorrhage, intracerebral, susceptibility to | Stroke, hemorrhagic, susceptibility to | ICH","Uncertain significance","""migraine""","ClinVar_XML"
"COL4A1","3575702","VCV003575702","migraine","Retinal arteries, tortuosity of | Retinal arterial tortuosity | RETINAL HEMORRHAGE WITH VASCULAR TORTUOSITY | RATOR | BRAIN SMALL VESSEL DISEASE WITH HEMORRHAGE | Brain small vessel disease 1 with or without ocular anomalies | Brain small vessel disease with or without ocular anomalies | PORENCEPHALY, TYPE 1, AUTOSOMAL DOMINANT | GOULD SYNDROME 1 | BSVD1 | Hemorrhage, intracerebral, susceptibility to | Stroke, hemorrhagic, susceptibility to | ICH | Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps | Autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome | HANAC | Microangiopathy and leukoencephalopathy, pontine, autosomal dominant | DEMENTIA, HEREDITARY MULTI-INFARCT, SWEDISH TYPE | Pontine autosomal dominant microangiopathy with leukoencephalopathy | PADMAL | none provided | not provided","Uncertain significance","""migraine""","ClinVar_XML"
"COL4A1","3575703","VCV003575703","migraine","Retinal arteries, tortuosity of | Retinal arterial tortuosity | RETINAL HEMORRHAGE WITH VASCULAR TORTUOSITY | RATOR | PORENCEPHALY, TYPE 1, AUTOSOMAL DOMINANT | GOULD SYNDROME 1 | Brain small vessel disease with or without ocular anomalies | BRAIN SMALL VESSEL DISEASE WITH HEMORRHAGE | Brain small vessel disease 1 with or without ocular anomalies | BSVD1 | Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps | Autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome | HANAC | Pontine autosomal dominant microangiopathy with leukoencephalopathy | Microangiopathy and leukoencephalopathy, pontine, autosomal dominant | DEMENTIA, HEREDITARY MULTI-INFARCT, SWEDISH TYPE | PADMAL | Hemorrhage, intracerebral, susceptibility to | Stroke, hemorrhagic, susceptibility to | ICH","Uncertain significance","""migraine""","ClinVar_XML"
"COL4A1","3575704","VCV003575704","migraine","Retinal arteries, tortuosity of | Retinal arterial tortuosity | RETINAL HEMORRHAGE WITH VASCULAR TORTUOSITY | RATOR | PORENCEPHALY, TYPE 1, AUTOSOMAL DOMINANT | GOULD SYNDROME 1 | Brain small vessel disease with or without ocular anomalies | BRAIN SMALL VESSEL DISEASE WITH HEMORRHAGE | Brain small vessel disease 1 with or without ocular anomalies | BSVD1 | Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps | Autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome | HANAC | Pontine autosomal dominant microangiopathy with leukoencephalopathy | Microangiopathy and leukoencephalopathy, pontine, autosomal dominant | DEMENTIA, HEREDITARY MULTI-INFARCT, SWEDISH TYPE | PADMAL | Hemorrhage, intracerebral, susceptibility to | Stroke, hemorrhagic, susceptibility to | ICH","Uncertain significance","""migraine""","ClinVar_XML"
"COL4A1","3575705","VCV003575705","migraine","Retinal arteries, tortuosity of | Retinal arterial tortuosity | RETINAL HEMORRHAGE WITH VASCULAR TORTUOSITY | RATOR | PORENCEPHALY, TYPE 1, AUTOSOMAL DOMINANT | GOULD SYNDROME 1 | Brain small vessel disease with or without ocular anomalies | BRAIN SMALL VESSEL DISEASE WITH HEMORRHAGE | Brain small vessel disease 1 with or without ocular anomalies | BSVD1 | Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps | Autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome | HANAC | Pontine autosomal dominant microangiopathy with leukoencephalopathy | Microangiopathy and leukoencephalopathy, pontine, autosomal dominant | DEMENTIA, HEREDITARY MULTI-INFARCT, SWEDISH TYPE | PADMAL | Hemorrhage, intracerebral, susceptibility to | Stroke, hemorrhagic, susceptibility to | ICH","Uncertain significance","""migraine""","ClinVar_XML"
"COL4A1","3575707","VCV003575707","migraine","Retinal arteries, tortuosity of | Retinal arterial tortuosity | RETINAL HEMORRHAGE WITH VASCULAR TORTUOSITY | RATOR | PORENCEPHALY, TYPE 1, AUTOSOMAL DOMINANT | GOULD SYNDROME 1 | Brain small vessel disease with or without ocular anomalies | BRAIN SMALL VESSEL DISEASE WITH HEMORRHAGE | Brain small vessel disease 1 with or without ocular anomalies | BSVD1 | Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps | Autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome | HANAC | Pontine autosomal dominant microangiopathy with leukoencephalopathy | Microangiopathy and leukoencephalopathy, pontine, autosomal dominant | DEMENTIA, HEREDITARY MULTI-INFARCT, SWEDISH TYPE | PADMAL | Hemorrhage, intracerebral, susceptibility to | Stroke, hemorrhagic, susceptibility to | ICH","Pathogenic","""migraine""","ClinVar_XML"
"COL4A1","3575708","VCV003575708","migraine","Stroke, hemorrhagic, susceptibility to | Hemorrhage, intracerebral, susceptibility to | ICH | Retinal arterial tortuosity | RETINAL HEMORRHAGE WITH VASCULAR TORTUOSITY | Retinal arteries, tortuosity of | RATOR | PORENCEPHALY, TYPE 1, AUTOSOMAL DOMINANT | Brain small vessel disease with or without ocular anomalies | GOULD SYNDROME 1 | BRAIN SMALL VESSEL DISEASE WITH HEMORRHAGE | Brain small vessel disease 1 with or without ocular anomalies | BSVD1 | Autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome | Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps | HANAC | Microangiopathy and leukoencephalopathy, pontine, autosomal dominant | DEMENTIA, HEREDITARY MULTI-INFARCT, SWEDISH TYPE | Pontine autosomal dominant microangiopathy with leukoencephalopathy | PADMAL | not provided | none provided","Uncertain significance","""migraine""","ClinVar_XML"
"COL4A1","3575709","VCV003575709","migraine","Retinal arteries, tortuosity of | Retinal arterial tortuosity | RETINAL HEMORRHAGE WITH VASCULAR TORTUOSITY | RATOR | PORENCEPHALY, TYPE 1, AUTOSOMAL DOMINANT | GOULD SYNDROME 1 | Brain small vessel disease with or without ocular anomalies | BRAIN SMALL VESSEL DISEASE WITH HEMORRHAGE | Brain small vessel disease 1 with or without ocular anomalies | BSVD1 | Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps | Autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome | HANAC | Pontine autosomal dominant microangiopathy with leukoencephalopathy | Microangiopathy and leukoencephalopathy, pontine, autosomal dominant | DEMENTIA, HEREDITARY MULTI-INFARCT, SWEDISH TYPE | PADMAL | Hemorrhage, intracerebral, susceptibility to | Stroke, hemorrhagic, susceptibility to | ICH","Uncertain significance","""migraine""","ClinVar_XML"
"COL4A1","3575711","VCV003575711","migraine","Retinal arteries, tortuosity of | Retinal arterial tortuosity | RETINAL HEMORRHAGE WITH VASCULAR TORTUOSITY | RATOR | PORENCEPHALY, TYPE 1, AUTOSOMAL DOMINANT | GOULD SYNDROME 1 | Brain small vessel disease with or without ocular anomalies | BRAIN SMALL VESSEL DISEASE WITH HEMORRHAGE | Brain small vessel disease 1 with or without ocular anomalies | BSVD1 | Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps | Autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome | HANAC | Pontine autosomal dominant microangiopathy with leukoencephalopathy | Microangiopathy and leukoencephalopathy, pontine, autosomal dominant | DEMENTIA, HEREDITARY MULTI-INFARCT, SWEDISH TYPE | PADMAL | Hemorrhage, intracerebral, susceptibility to | Stroke, hemorrhagic, susceptibility to | ICH","Likely pathogenic","""migraine""","ClinVar_XML"
"COL4A1","3575712","VCV003575712","migraine","Retinal arteries, tortuosity of | Retinal arterial tortuosity | RETINAL HEMORRHAGE WITH VASCULAR TORTUOSITY | RATOR | PORENCEPHALY, TYPE 1, AUTOSOMAL DOMINANT | GOULD SYNDROME 1 | Brain small vessel disease with or without ocular anomalies | BRAIN SMALL VESSEL DISEASE WITH HEMORRHAGE | Brain small vessel disease 1 with or without ocular anomalies | BSVD1 | Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps | Autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome | HANAC | Pontine autosomal dominant microangiopathy with leukoencephalopathy | Microangiopathy and leukoencephalopathy, pontine, autosomal dominant | DEMENTIA, HEREDITARY MULTI-INFARCT, SWEDISH TYPE | PADMAL | Hemorrhage, intracerebral, susceptibility to | Stroke, hemorrhagic, susceptibility to | ICH","Uncertain significance","""migraine""","ClinVar_XML"
"COL4A1","3575713","VCV003575713","migraine","Retinal arteries, tortuosity of | Retinal arterial tortuosity | RETINAL HEMORRHAGE WITH VASCULAR TORTUOSITY | RATOR | PORENCEPHALY, TYPE 1, AUTOSOMAL DOMINANT | GOULD SYNDROME 1 | Brain small vessel disease with or without ocular anomalies | BRAIN SMALL VESSEL DISEASE WITH HEMORRHAGE | Brain small vessel disease 1 with or without ocular anomalies | BSVD1 | Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps | Autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome | HANAC | Pontine autosomal dominant microangiopathy with leukoencephalopathy | Microangiopathy and leukoencephalopathy, pontine, autosomal dominant | DEMENTIA, HEREDITARY MULTI-INFARCT, SWEDISH TYPE | PADMAL | Hemorrhage, intracerebral, susceptibility to | Stroke, hemorrhagic, susceptibility to | ICH","Uncertain significance","""migraine""","ClinVar_XML"
"COL4A1","3575714","VCV003575714","migraine","Retinal arteries, tortuosity of | Retinal arterial tortuosity | RETINAL HEMORRHAGE WITH VASCULAR TORTUOSITY | RATOR | PORENCEPHALY, TYPE 1, AUTOSOMAL DOMINANT | GOULD SYNDROME 1 | Brain small vessel disease with or without ocular anomalies | BRAIN SMALL VESSEL DISEASE WITH HEMORRHAGE | Brain small vessel disease 1 with or without ocular anomalies | BSVD1 | Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps | Autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome | HANAC | Pontine autosomal dominant microangiopathy with leukoencephalopathy | Microangiopathy and leukoencephalopathy, pontine, autosomal dominant | DEMENTIA, HEREDITARY MULTI-INFARCT, SWEDISH TYPE | PADMAL | Hemorrhage, intracerebral, susceptibility to | Stroke, hemorrhagic, susceptibility to | ICH","Uncertain significance","""migraine""","ClinVar_XML"
"COL4A1","3575715","VCV003575715","migraine","Retinal arteries, tortuosity of | Retinal arterial tortuosity | RETINAL HEMORRHAGE WITH VASCULAR TORTUOSITY | RATOR | BRAIN SMALL VESSEL DISEASE WITH HEMORRHAGE | Brain small vessel disease 1 with or without ocular anomalies | Brain small vessel disease with or without ocular anomalies | PORENCEPHALY, TYPE 1, AUTOSOMAL DOMINANT | GOULD SYNDROME 1 | BSVD1 | Hemorrhage, intracerebral, susceptibility to | Stroke, hemorrhagic, susceptibility to | ICH | Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps | Autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome | HANAC | Microangiopathy and leukoencephalopathy, pontine, autosomal dominant | DEMENTIA, HEREDITARY MULTI-INFARCT, SWEDISH TYPE | Pontine autosomal dominant microangiopathy with leukoencephalopathy | PADMAL | none provided | not provided","Likely pathogenic","""migraine""","ClinVar_XML"
"COL4A1","3575716","VCV003575716","migraine","Retinal arteries, tortuosity of | Retinal arterial tortuosity | RETINAL HEMORRHAGE WITH VASCULAR TORTUOSITY | RATOR | BRAIN SMALL VESSEL DISEASE WITH HEMORRHAGE | Brain small vessel disease 1 with or without ocular anomalies | Brain small vessel disease with or without ocular anomalies | PORENCEPHALY, TYPE 1, AUTOSOMAL DOMINANT | GOULD SYNDROME 1 | BSVD1 | Hemorrhage, intracerebral, susceptibility to | Stroke, hemorrhagic, susceptibility to | ICH | Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps | Autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome | HANAC | Microangiopathy and leukoencephalopathy, pontine, autosomal dominant | DEMENTIA, HEREDITARY MULTI-INFARCT, SWEDISH TYPE | Pontine autosomal dominant microangiopathy with leukoencephalopathy | PADMAL | none provided | not provided","Uncertain significance","""migraine""","ClinVar_XML"
"COL4A1","3575717","VCV003575717","migraine","Retinal arteries, tortuosity of | Retinal arterial tortuosity | RETINAL HEMORRHAGE WITH VASCULAR TORTUOSITY | RATOR | PORENCEPHALY, TYPE 1, AUTOSOMAL DOMINANT | GOULD SYNDROME 1 | Brain small vessel disease with or without ocular anomalies | BRAIN SMALL VESSEL DISEASE WITH HEMORRHAGE | Brain small vessel disease 1 with or without ocular anomalies | BSVD1 | Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps | Autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome | HANAC | Pontine autosomal dominant microangiopathy with leukoencephalopathy | Microangiopathy and leukoencephalopathy, pontine, autosomal dominant | DEMENTIA, HEREDITARY MULTI-INFARCT, SWEDISH TYPE | PADMAL | Hemorrhage, intracerebral, susceptibility to | Stroke, hemorrhagic, susceptibility to | ICH","Likely pathogenic","""migraine""","ClinVar_XML"
"COL4A1","3575719","VCV003575719","migraine","Retinal arteries, tortuosity of | Retinal arterial tortuosity | RETINAL HEMORRHAGE WITH VASCULAR TORTUOSITY | RATOR | PORENCEPHALY, TYPE 1, AUTOSOMAL DOMINANT | GOULD SYNDROME 1 | Brain small vessel disease with or without ocular anomalies | BRAIN SMALL VESSEL DISEASE WITH HEMORRHAGE | Brain small vessel disease 1 with or without ocular anomalies | BSVD1 | Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps | Autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome | HANAC | Pontine autosomal dominant microangiopathy with leukoencephalopathy | Microangiopathy and leukoencephalopathy, pontine, autosomal dominant | DEMENTIA, HEREDITARY MULTI-INFARCT, SWEDISH TYPE | PADMAL | Hemorrhage, intracerebral, susceptibility to | Stroke, hemorrhagic, susceptibility to | ICH","Likely pathogenic","""migraine""","ClinVar_XML"
"COL4A1","3575720","VCV003575720","migraine","Retinal arteries, tortuosity of | Retinal arterial tortuosity | RETINAL HEMORRHAGE WITH VASCULAR TORTUOSITY | RATOR | PORENCEPHALY, TYPE 1, AUTOSOMAL DOMINANT | GOULD SYNDROME 1 | Brain small vessel disease with or without ocular anomalies | BRAIN SMALL VESSEL DISEASE WITH HEMORRHAGE | Brain small vessel disease 1 with or without ocular anomalies | BSVD1 | Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps | Autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome | HANAC | Pontine autosomal dominant microangiopathy with leukoencephalopathy | Microangiopathy and leukoencephalopathy, pontine, autosomal dominant | DEMENTIA, HEREDITARY MULTI-INFARCT, SWEDISH TYPE | PADMAL | Hemorrhage, intracerebral, susceptibility to | Stroke, hemorrhagic, susceptibility to | ICH","Likely pathogenic","""migraine""","ClinVar_XML"
"COL4A1","3575721","VCV003575721","migraine","Retinal arteries, tortuosity of | Retinal arterial tortuosity | RETINAL HEMORRHAGE WITH VASCULAR TORTUOSITY | RATOR | PORENCEPHALY, TYPE 1, AUTOSOMAL DOMINANT | GOULD SYNDROME 1 | Brain small vessel disease with or without ocular anomalies | BRAIN SMALL VESSEL DISEASE WITH HEMORRHAGE | Brain small vessel disease 1 with or without ocular anomalies | BSVD1 | Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps | Autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome | HANAC | Pontine autosomal dominant microangiopathy with leukoencephalopathy | Microangiopathy and leukoencephalopathy, pontine, autosomal dominant | DEMENTIA, HEREDITARY MULTI-INFARCT, SWEDISH TYPE | PADMAL | Hemorrhage, intracerebral, susceptibility to | Stroke, hemorrhagic, susceptibility to | ICH","Uncertain significance","""migraine""","ClinVar_XML"
"COL4A1","3575722","VCV003575722","migraine","Retinal arteries, tortuosity of | Retinal arterial tortuosity | RETINAL HEMORRHAGE WITH VASCULAR TORTUOSITY | RATOR | PORENCEPHALY, TYPE 1, AUTOSOMAL DOMINANT | GOULD SYNDROME 1 | Brain small vessel disease with or without ocular anomalies | BRAIN SMALL VESSEL DISEASE WITH HEMORRHAGE | Brain small vessel disease 1 with or without ocular anomalies | BSVD1 | Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps | Autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome | HANAC | Pontine autosomal dominant microangiopathy with leukoencephalopathy | Microangiopathy and leukoencephalopathy, pontine, autosomal dominant | DEMENTIA, HEREDITARY MULTI-INFARCT, SWEDISH TYPE | PADMAL | Hemorrhage, intracerebral, susceptibility to | Stroke, hemorrhagic, susceptibility to | ICH","Uncertain significance","""migraine""","ClinVar_XML"
"COL4A1","3575723","VCV003575723","migraine","Retinal arteries, tortuosity of | Retinal arterial tortuosity | RETINAL HEMORRHAGE WITH VASCULAR TORTUOSITY | RATOR | PORENCEPHALY, TYPE 1, AUTOSOMAL DOMINANT | GOULD SYNDROME 1 | Brain small vessel disease with or without ocular anomalies | BRAIN SMALL VESSEL DISEASE WITH HEMORRHAGE | Brain small vessel disease 1 with or without ocular anomalies | BSVD1 | Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps | Autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome | HANAC | Pontine autosomal dominant microangiopathy with leukoencephalopathy | Microangiopathy and leukoencephalopathy, pontine, autosomal dominant | DEMENTIA, HEREDITARY MULTI-INFARCT, SWEDISH TYPE | PADMAL | Hemorrhage, intracerebral, susceptibility to | Stroke, hemorrhagic, susceptibility to | ICH","Likely benign","""migraine""","ClinVar_XML"
"COL4A1","3575724","VCV003575724","migraine","Retinal arteries, tortuosity of | Retinal arterial tortuosity | RETINAL HEMORRHAGE WITH VASCULAR TORTUOSITY | RATOR | PORENCEPHALY, TYPE 1, AUTOSOMAL DOMINANT | GOULD SYNDROME 1 | Brain small vessel disease with or without ocular anomalies | BRAIN SMALL VESSEL DISEASE WITH HEMORRHAGE | Brain small vessel disease 1 with or without ocular anomalies | BSVD1 | Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps | Autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome | HANAC | Pontine autosomal dominant microangiopathy with leukoencephalopathy | Microangiopathy and leukoencephalopathy, pontine, autosomal dominant | DEMENTIA, HEREDITARY MULTI-INFARCT, SWEDISH TYPE | PADMAL | Hemorrhage, intracerebral, susceptibility to | Stroke, hemorrhagic, susceptibility to | ICH","Uncertain significance","""migraine""","ClinVar_XML"
"COL4A1","3575725","VCV003575725","migraine","Retinal arteries, tortuosity of | Retinal arterial tortuosity | RETINAL HEMORRHAGE WITH VASCULAR TORTUOSITY | RATOR | BRAIN SMALL VESSEL DISEASE WITH HEMORRHAGE | Brain small vessel disease 1 with or without ocular anomalies | Brain small vessel disease with or without ocular anomalies | PORENCEPHALY, TYPE 1, AUTOSOMAL DOMINANT | GOULD SYNDROME 1 | BSVD1 | Hemorrhage, intracerebral, susceptibility to | Stroke, hemorrhagic, susceptibility to | ICH | Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps | Autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome | HANAC | Microangiopathy and leukoencephalopathy, pontine, autosomal dominant | DEMENTIA, HEREDITARY MULTI-INFARCT, SWEDISH TYPE | Pontine autosomal dominant microangiopathy with leukoencephalopathy | PADMAL | none provided | not provided","Uncertain significance","""migraine""","ClinVar_XML"
"COL4A1","3575726","VCV003575726","migraine","Retinal arteries, tortuosity of | Retinal arterial tortuosity | RETINAL HEMORRHAGE WITH VASCULAR TORTUOSITY | RATOR | PORENCEPHALY, TYPE 1, AUTOSOMAL DOMINANT | GOULD SYNDROME 1 | Brain small vessel disease with or without ocular anomalies | BRAIN SMALL VESSEL DISEASE WITH HEMORRHAGE | Brain small vessel disease 1 with or without ocular anomalies | BSVD1 | Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps | Autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome | HANAC | Pontine autosomal dominant microangiopathy with leukoencephalopathy | Microangiopathy and leukoencephalopathy, pontine, autosomal dominant | DEMENTIA, HEREDITARY MULTI-INFARCT, SWEDISH TYPE | PADMAL | Hemorrhage, intracerebral, susceptibility to | Stroke, hemorrhagic, susceptibility to | ICH","Uncertain significance","""migraine""","ClinVar_XML"
"COL4A1","3575727","VCV003575727","migraine","Retinal arteries, tortuosity of | Retinal arterial tortuosity | RETINAL HEMORRHAGE WITH VASCULAR TORTUOSITY | RATOR | PORENCEPHALY, TYPE 1, AUTOSOMAL DOMINANT | GOULD SYNDROME 1 | Brain small vessel disease with or without ocular anomalies | BRAIN SMALL VESSEL DISEASE WITH HEMORRHAGE | Brain small vessel disease 1 with or without ocular anomalies | BSVD1 | Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps | Autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome | HANAC | Pontine autosomal dominant microangiopathy with leukoencephalopathy | Microangiopathy and leukoencephalopathy, pontine, autosomal dominant | DEMENTIA, HEREDITARY MULTI-INFARCT, SWEDISH TYPE | PADMAL | Hemorrhage, intracerebral, susceptibility to | Stroke, hemorrhagic, susceptibility to | ICH","Uncertain significance","""migraine""","ClinVar_XML"
"COL4A1","3575729","VCV003575729","migraine","Retinal arteries, tortuosity of | Retinal arterial tortuosity | RETINAL HEMORRHAGE WITH VASCULAR TORTUOSITY | RATOR | PORENCEPHALY, TYPE 1, AUTOSOMAL DOMINANT | GOULD SYNDROME 1 | Brain small vessel disease with or without ocular anomalies | BRAIN SMALL VESSEL DISEASE WITH HEMORRHAGE | Brain small vessel disease 1 with or without ocular anomalies | BSVD1 | Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps | Autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome | HANAC | Pontine autosomal dominant microangiopathy with leukoencephalopathy | Microangiopathy and leukoencephalopathy, pontine, autosomal dominant | DEMENTIA, HEREDITARY MULTI-INFARCT, SWEDISH TYPE | PADMAL | Hemorrhage, intracerebral, susceptibility to | Stroke, hemorrhagic, susceptibility to | ICH","Uncertain significance","""migraine""","ClinVar_XML"
